tag_id,name,slug,language,games_count
285,Psychological,psychological,eng,2812
42473,Immersive Sim,immersive-sim-2,eng,5066
639,Roguelike,roguelike,eng,15198
180,Base Building,base-building,eng,2987
194,Real-Time with Pause,real-time-with-pause,eng,247
210,Real-Time,real-time,eng,1243
55,Tanks,tanks,eng,2947
255,Pirates,pirates,eng,2343
256,Naval,naval,eng,423
102,Turn-Based,turn-based,eng,5611
101,Turn-Based Strategy,turn-based-strategy,eng,6649
195,Economy,economy,eng,3312
100,Grand Strategy,grand-strategy,eng,995
60,Touch-Friendly,touch-friendly,eng,1695
86,Education,education,eng,3782
212,4X,4x,eng,682
103,Hex Grid,hex-grid,eng,561
211,Diplomacy,diplomacy,eng,351
54,Score Attack,score-attack,eng,5499
84,Abstract,abstract,eng,7511
788,realism,realism,eng,20
2468,paranormal,paranormal,eng,50
326,Investigation,investigation,eng,3412
266,Level Editor,level-editor,eng,2111
49963,Precision Platformer,precision-platformer-2,eng,2842
185,Swordplay,swordplay,eng,989
318,Star Wars,star-wars,eng,41
84157,ea play,ea-play,eng,3
3459,cinema,cinema,eng,35
21400,lightsaber,lightsaber,eng,12
503,Singe-player,singe-player,eng,6
217,Romance,romance,eng,9874
51,Destruction,destruction,eng,3977
1897,fire,fire,eng,6131
3397,light,light,eng,1751
14,Early Access,early-access,eng,19533
99,Isometric,isometric,eng,5314
640,Roguelite,roguelite,eng,8706
124,Perma Death,perma-death,eng,2783
3383,dungeons,dungeons,eng,43
251,Cold War,cold-war,eng,313
134,Anime,anime,eng,17086
233,JRPG,jrpg,eng,5276
57,Bullet Hell,bullet-hell,eng,10662
304,Character Action Game,character-action-game,eng,642
254,Spectacle fighter,spectacle-fighter,eng,842
4441,cube,cube,eng,2213
14973,modding,modding,eng,6
1372,procedural-generation,procedural-generation-2,eng,41
624,Monsters,monsters,eng,9655
30084,movie-based,movie-based,eng,8
33,VR,vr,eng,12974
201,Twin Stick Shooter,twin-stick-shooter,eng,2982
583,Narrative,narrative,eng,9138
40937,Steam Trading Cards,steam-trading-cards-2,eng,843
184,Mechs,mechs,eng,1430
7413,grappling-hook,grappling-hook,eng,78
67,Management,management,eng,9427
147,Resource Management,resource-management,eng,3974
213,City Builder,city-builder,eng,3175
151,Modern,modern,eng,2296
1468,calm,calm,eng,678
1470,peaceful,peaceful,eng,202
29,Games Workshop,games-workshop,eng,91
176,Turn-Based Tactics,turn-based-tactics,eng,4460
31352,microtransactions,microtransactions,eng,3
175,Turn-Based Combat,turn-based-combat,eng,6361
238,CRPG,crpg,eng,1554
91617,gameplay feature: multiple endings,gameplay-feature-multiple-endings,eng,2
91634,gameplay feature: drug addiction,gameplay-feature-drug-addiction,eng,1
91635,gameplay feature: gambling,gameplay-feature-gambling,eng,1
91636,gameplay feature: karma meter,gameplay-feature-karma-meter,eng,1
91637,gameplay feature: radiation / radioactive poisoning,gameplay-feature-radiation-radioactive-poisoning,eng,1
91638,gameplay feature: targeting system,gameplay-feature-targeting-system,eng,1
91639,wasteland universe,wasteland-universe,eng,1
91640,weapon: minigun,weapon-minigun,eng,1
91629,fallout games,fallout-games,eng,1
91630,game feature: hexagonal map,game-feature-hexagonal-map,eng,1
91631,gameplay feature: auto-mapping,gameplay-feature-auto-mapping,eng,1
91632,gameplay feature: character development - skill distribution,gameplay-feature-character-development-skill-distr,eng,1
91633,gameplay feature: day / night cycle,gameplay-feature-day-night-cycle,eng,1
49955,Puzzle Platformer,puzzle-platformer-2,eng,4481
298,Grid-Based Movement,grid-based-movement,eng,1593
3319,solitaire,solitaire,eng,2619
325,Foreign,foreign,eng,411
576,Faith,faith,eng,608
320,Sokoban,sokoban,eng,1528
751,Real time strategy,real-time-strategy,eng,2085
288,Interactive Fiction,interactive-fiction,eng,5032
40844,Oyun Kumandası Desteği,oyun-kumandas-destegi,eng,1
40848,Steam Başarımları,steam-basarmlar,eng,1
40853,Tek Oyunculu,tek-oyunculu,eng,1
623,meat,meat,eng,82
7447,russia,russia,eng,82
229,3D Platformer,3d-platformer,eng,12235
284,Cult Classic,cult-classic,eng,985
308,Bullet Time,bullet-time,eng,879
