developer_id,name,slug,games_count,image_background
19732,Respawn Entertainment,respawn-entertainment,30,https://media.rawg.io/media/games/2d2/2d2c240b0bea0625fd90224455cd5fba.jpg
3232,Bungie,bungie-inc,30,https://media.rawg.io/media/games/34b/34b1f1850a1c06fd971bc6ab3ac0ce0e.jpg
8770,Tango Gameworks,tango-gameworks,11,https://media.rawg.io/media/games/157/1570121f5c4d240504f1eae5c3854733.jpg
1784,Microids,microids,130,https://media.rawg.io/media/screenshots/f91/f91644bb4d1db3c22627c0b3da80d33c.jpg
4024,Paradox Development Studio,paradox-development-studio,66,https://media.rawg.io/media/games/89a/89a2f33f0a70c4fe7d530f7376970a90.jpg
6288,Ninja Theory,ninja-theory,20,https://media.rawg.io/media/games/8b1/8b17ae36874ae78206449810ffecc180.jpg
5250,Sledgehammer Games,sledgehammer-games,17,https://media.rawg.io/media/games/fa8/fa870a46d5e3e8cb1fa0a5e4f798ff2a.jpg
4413,Ubisoft Quebec,ubisoft-quebec,26,https://media.rawg.io/media/screenshots/186/18680b415f969efd501c76d3ff251b5c.jpg
3513,Supergiant Games,supergiant-games,5,https://media.rawg.io/media/games/f99/f9979698c43fd84c3ab69280576dd3af.jpg
8689,Machine Games,machine-games,20,https://media.rawg.io/media/games/e45/e45cac224332fd6646cee4a5a1c652d2.jpg
4304,4A Games,4a-games,16,https://media.rawg.io/media/screenshots/4cf/4cfa423ae97a712c52c780e5baee2c28.jpg
19027,Ryu ga Gotoku Studio,ryu-ga-gotoku-studio,28,https://media.rawg.io/media/screenshots/11e/11ea408c43a505b311f8731303de8090.jpg
1181,Frozenbyte,frozenbyte,21,https://media.rawg.io/media/screenshots/9ce/9cee34659916bbafeaa60e89d7428a30.jpg
6276,Haemimont Games,haemimont-games,42,https://media.rawg.io/media/screenshots/328/3281627672a9b8d2f0a282604597b1ed.jpg
5727,Saber Interactive,saber-interactive,47,https://media.rawg.io/media/games/e56/e56d73997fa600cea36a31ad34e58193.jpg
4786,Sumo Digital,sumo-digital,37,https://media.rawg.io/media/screenshots/972/972b3a00b73f987a196186ae7c1757f6.jpg
3606,QLOC,qloc,19,https://media.rawg.io/media/screenshots/20f/20fe75dfab90e65898416ef5f69a946b.jpg
85,DotEmu,dotemu,53,https://media.rawg.io/media/screenshots/395/3953b9bcd4559245d98700a9bc68cb00.jpg
13953,Atlus,atlus,119,https://media.rawg.io/media/games/342/34220787c1b92957ff66da9957194b64.jpg
