creator_id,name,slug,games_count
374,Odd Ahlgren,odd-ahlgren,4
381,Mats Lundgren,mats-lundgren,4
2199,Akihiko Narita,akihiko-narita,13
66,Paul Hellquist,paul-hellquist,5
1949,Keiji Inafune,keiji-inafune,90
467,James Tsai,james-tsai,18
444,Joe Henson,joe-henson,7
445,Alexis Smith,alexis-smith,7
1950,Shinsaku Ohara,shinsaku-ohara,6
1273,Todd Alderman,todd-alderman,6
83,Susan O'Connor,susan-oconnor,7
4103,Nobuo Uematsu,nobuo-uematsu,100
5963,Austin Cline,austin-cline,5
433,Dennis Lenart,dennis-lenart,7
2310,Yasuhiro Anpo,yasuhiro-anpo,8
36,Christopher Kline,christopher-kline,2
674,David Cage,david-cage,9
1581,Hideki Kamiya,hideki-kamiya,22
192,Derek Watts,derek-watts,6
187,Casey Hudson,casey-hudson,6
196,David Falkner,david-falkner,6
797,Grzegorz Mazur,grzegorz-mazur,3
25475,Chris Rhinehart,chris-rhinehart,17
230,Scott Campbell,scott-campbell,14
2558,Shawn Green,shawn-green,27
730,Paul De Meo,paul-demeo,12
926,Timothy Michael Wynn,timothy-michael-wynn,8
4799,Koji Kondo,koji-kondo,52
21261,Alex Chrisman,alex-chrisman,9
2351,Jun Senoue,jun-senoue,47
538,John Edwards,john-edwards,9
1851,Scott Miller,scott-miller,33
324,Glen Schofield,glen-schofield,18
12224,Steven Holmes,steven-holmes,10
73,Jeramy Cooke,jeramy-cooke,9
3274,Jon Paquette,jon-paquette,10
5732,Tetsuya Nomura,tetsuya-nomura,39
2263,Kiyohiko Sakata,kiyohiko-sakata,8
2887,Kazuki Muraoka,kazuki-muraoka,21
18512,Robert Gee,robert-gee,15
74,Sean Reardon,sean-reardon,7
17724,"Adam ""Scorpik"" Skorupa",adam-scorpik-skorupa,4
441,Keenan Patterson,keenan-patterson,8
564,Terri Brosius,terri-brosius,7
4385,Stephen A. Hornback,stephen-hornback,27
269,Dan Hay,dan-hay,7
1285,Sarah Schachner,sarah-schachner,7
1886,American McGee,american-mcgee,32
25476,Randy Redetzke,randy-redetzke,7
139,Danny Baranowsky,danny-baranowsky,14
1664,Darby McDevitt,darby-mcdevitt,8
223,Greg Kasavin,greg-kasavin,5
227,Gavin Simon,gavin-simon,5
226,Jen Zee,jen-zee,5
225,Darren Korb,darren-korb,5
224,Amir Rao,amir-rao,5
2400,Masachika Kawata,masachika-kawata,10
1792,Johan Andersson,johan-andersson,37
87,Daniel Chayer,daniel-chayer,3
1268,Jason West,jason-west,8
402,Daniel Vávra,daniel-vavra,5
2142,Jason Blundell,jason-blundell,8
67,Kevin Riepl,kevin-riepl,27
1669,Michael Condrey,michael-condrey,9
567,Austin Grossman,austin-grossman,9
10317,Les Dorscheid,les-dorscheid,24
111,Brian Busatti,brian-busatti,14
2885,Shuyo Murata,shuyo-murata,12
317,Matthew Armstrong,matthew-armstrong,13
1328,Yui Tanimura,yui-tanimura,8
430,Nick Herman,nick-herman,7
3078,Michael Boon,michael-boon,8
